datetime,timestamp,type,location,avgFps,framesInPeriod,durationOfPeriodMs,processing_avg,processing_min,processing_max,inference_avg,inference_min,inference_max,preparation_avg,preparation_min,preparation_max,postProcessing_avg,postProcessing_min,postProcessing_max,modelType,inputWidth,inputHeight,tabId
2025-07-05T09:46:11.150Z,1751708771150,inference_aggregated,offscreen,11.06,111,10033.7,85.49,49.8,629.6,85.48,49.8,629.5,0,0,0.1,0.18,0,0.6,classification,979,979,866042935
2025-07-05T09:46:21.290Z,1751708781290,inference_aggregated,offscreen,11.93,121,10138.3,79.28,53.2,199,79.27,53.2,199,0,0,0.1,0.19,0,1.1,classification,979,979,866042935
2025-07-05T09:46:31.345Z,1751708791345,inference_aggregated,offscreen,11.73,118,10056.5,80.48,42.2,195.8,80.47,42.2,195.5,0,0,0.1,0.2,0,3.5,classification,979,979,866042935
2025-07-05T09:46:41.376Z,1751708801376,inference_aggregated,offscreen,12.16,122,10030.2,77.57,48.3,213,77.56,48.3,212.9,0,0,0.1,0.19,0,0.7,classification,979,979,866042935
2025-07-05T09:46:51.407Z,1751708811407,inference_aggregated,offscreen,11.66,117,10031.9,81.12,39.9,175.3,81.11,39.9,175.3,0,0,0.1,0.18,0,0.6,classification,979,979,866042935
2025-07-05T09:47:01.429Z,1751708821429,inference_aggregated,offscreen,13.07,131,10021.7,72.18,46.3,106.1,72.17,46.3,106.1,0,0,0,0.15,0,0.4,classification,979,979,866042935
2025-07-05T09:47:11.500Z,1751708831500,inference_aggregated,offscreen,11.82,119,10070.3,80.01,49.7,244.9,80,49.7,244.9,0,0,0,0.18,0,1.6,classification,979,979,866042935
2025-07-05T09:47:21.577Z,1751708841577,inference_aggregated,offscreen,11.11,112,10077.7,85.33,51.6,204.4,85.32,51.6,204.4,0,0,0.1,0.22,0,3.6,classification,979,979,866042935
2025-07-05T09:47:31.642Z,1751708851642,inference_aggregated,offscreen,11.54,116,10054.1,82.28,37.4,189.6,82.28,37.4,189.6,0,0,0.1,0.19,0,1.1,classification,979,979,866042935
2025-07-05T09:47:41.650Z,1751708861650,inference_aggregated,offscreen,11.78,118,10017.6,80.2,49.1,141.3,80.19,49,141.3,0,0,0,0.2,0,0.8,classification,979,979,866042935
2025-07-05T09:47:51.673Z,1751708871673,inference_aggregated,offscreen,11.27,113,10023.3,83.98,53.7,206.1,83.98,53.7,206.1,0,0,0,0.2,0,0.6,classification,979,979,866042935
2025-07-05T09:48:01.771Z,1751708881771,inference_aggregated,offscreen,10.8,109,10095.2,88.1,52.6,370.1,88.09,52.6,370,0,0,0,0.25,0,6,classification,979,979,866042935
2025-07-05T09:48:11.815Z,1751708891815,inference_aggregated,offscreen,11.25,113,10048.1,84.33,52.3,258.8,84.32,52.3,258.8,0,0,0.1,0.26,0,3.2,classification,979,979,866042935
2025-07-05T09:48:21.926Z,1751708901926,inference_aggregated,offscreen,11.37,115,10110.4,83.16,44.4,182.3,83.15,44.4,182.3,0,0,0,0.24,0,3.7,classification,979,979,866042935
2025-07-05T09:48:31.945Z,1751708911945,inference_aggregated,offscreen,11.28,113,10019.7,84.07,51.1,220.3,84.06,51.1,220.3,0,0,0,0.2,0,0.7,classification,979,979,866042935
2025-07-05T09:48:41.991Z,1751708921991,inference_aggregated,offscreen,12.15,122,10038.6,77.98,48.9,173.1,77.97,48.9,173.1,0,0,0,0.19,0,1.3,classification,979,979,866042935
2025-07-05T09:48:52.045Z,1751708932045,inference_aggregated,offscreen,12.13,122,10060.6,77.81,51.8,147.4,77.81,51.8,147.4,0,0,0.1,0.19,0,0.7,classification,979,979,866042935
2025-07-05T09:49:02.096Z,1751708942096,inference_aggregated,offscreen,11.04,111,10049.8,85.66,45,176.4,85.65,45,176.4,0,0,0,0.24,0,3.8,classification,979,979,866042935
2025-07-05T09:49:12.097Z,1751708952097,inference_aggregated,offscreen,10.8,108,10002.1,88.09,41.1,177.9,88.08,41.1,177.9,0,0,0.1,0.27,0,4.5,classification,979,979,866042935
2025-07-05T09:49:22.222Z,1751708962222,inference_aggregated,offscreen,11.36,115,10121.3,83.18,49,203.8,83.17,49,203.8,0,0,0.1,0.23,0,3.4,classification,979,979,866042935
