datetime,timestamp,type,location,avgFps,framesInPeriod,durationOfPeriodMs,processing_avg,processing_min,processing_max,inference_avg,inference_min,inference_max,preparation_avg,preparation_min,preparation_max,postProcessing_avg,postProcessing_min,postProcessing_max,durationMs,modelType,inputWidth,inputHeight
2025-07-05T10:07:16.113Z,1751710036113,inference_aggregated,injected,11.38,114,10021.7,81.65,42.4,1382.7,80.65,41.8,1382.3,0.01,0,0.1,0.21,0,2.4,,classification,984,979
2025-07-05T10:07:26.148Z,1751710046148,inference_aggregated,injected,15.65,157,10035.1,59.18,40.6,99.3,58.22,39.9,97.8,0.01,0,0.2,0.19,0,0.6,,classification,984,979
2025-07-05T10:07:36.186Z,1751710056186,inference_aggregated,injected,16.04,161,10038.4,58.42,43.1,121.5,57.45,42.4,118.4,0.02,0,0.1,0.18,0,0.7,,classification,984,979
2025-07-05T10:07:46.226Z,1751710066226,inference_aggregated,injected,15.64,157,10040.3,58.99,36.9,116.6,58.01,35.5,114.8,0.02,0,0.1,0.16,0,0.5,,classification,984,979
2025-07-05T10:07:56.253Z,1751710076253,inference_aggregated,injected,15.96,160,10026.2,58.56,41.2,191.9,57.58,40.8,190.6,0.02,0,0.1,0.18,0,1.6,,classification,984,979
2025-07-05T10:08:01.792Z,1751710081792,inference_aggregated,injected,16.25,90,5539.7,57.69,43.7,129.2,56.7,43.2,127.6,0.01,0,0.1,0.18,0,0.7,,classification,984,979
2025-07-06T08:27:24.681Z,1751790444681,modelLoad,injected,,,,,,,,,,,,,,,,601.7,classification,,
2025-07-06T08:27:41.106Z,1751790461106,inference_aggregated,injected,5.05,52,10298.1,188.06,70,1315,126.87,33,1207.1,59.66,32.6,125,1.56,0.6,6.6,,classification,984,979
2025-07-06T08:27:51.214Z,1751790471214,inference_aggregated,injected,5.83,59,10112,164.2,96.2,443.9,98.97,45.8,354.6,64.1,39.8,110.2,2.3,0.5,11.7,,classification,984,979
2025-07-06T08:28:01.271Z,1751790481271,inference_aggregated,injected,4.18,42,10056.4,224.55,77.4,608,129.93,34.3,426.1,92.77,36.9,184.6,3.14,0.7,12.7,,classification,984,979
2025-07-06T08:28:02.683Z,1751790482683,inference_aggregated,injected,7.08,10,1413.4,125.71,69.2,239.6,67.03,31.3,129.6,56.41,34.6,102.4,1.11,0.7,1.6,,classification,984,979
2025-07-06T08:37:00.738Z,1751791020738,modelLoad,injected,,,,,,,,,,,,,,,,1204.7,classification,,
2025-07-06T08:37:18.064Z,1751791038064,inference_aggregated,injected,2.8,28,10011.8,330.06,111.9,1038.7,236.11,65.3,936.4,91.46,46.3,167.6,3.2,0.6,15.4,,classification,986,981
2025-07-06T08:37:28.228Z,1751791048228,inference_aggregated,injected,4.82,49,10166.5,197.85,99.2,697.9,121.17,52.3,549.3,75.07,42.2,147.5,2.39,0.6,11.7,,classification,986,981
2025-07-06T08:37:38.369Z,1751791058369,inference_aggregated,injected,8.58,87,10141.3,109.41,71.8,227.6,56.76,32.6,132.4,51.45,34.2,104.8,1.31,0.5,7.1,,classification,986,981
2025-07-06T08:37:48.385Z,1751791068385,inference_aggregated,injected,8.69,87,10016,109.28,71,210.3,59.18,35.6,140.4,48.98,33.2,89,1.16,0.5,3.3,,classification,986,981
2025-07-06T08:37:58.430Z,1751791078430,inference_aggregated,injected,8.16,82,10044.6,115.05,75.1,240.5,59.49,36.5,158.8,54.17,34.7,130,1.34,0.5,6.9,,classification,986,981
2025-07-06T08:38:07.331Z,1751791087331,inference_aggregated,injected,8.65,77,8901.3,109.22,69.6,279.2,55.38,31,176.6,52.48,33.3,126.5,1.26,0.5,5.3,,classification,986,981
