datetime,timestamp,type,location,avgFps,framesInPeriod,durationOfPeriodMs,processing_avg,processing_min,processing_max,inference_avg,inference_min,inference_max,preparation_avg,preparation_min,preparation_max,postProcessing_avg,postProcessing_min,postProcessing_max,durationMs,modelType,inputWidth,inputHeight
2025-07-09T10:56:47.676Z,1752058607676,inference_aggregated,injected,13.08,131,10014.6,70.5,57.8,96.3,45.55,33,70.4,24.23,19.2,36.7,0.65,0.3,2.1,,classification,805,797
2025-07-09T10:56:57.716Z,1752058617716,inference_aggregated,injected,12.85,129,10040.7,72.23,58.1,114.7,46.6,34.1,88.6,24.91,20.6,40.9,0.65,0.3,1.9,,classification,805,797
2025-07-09T10:57:07.740Z,1752058627740,inference_aggregated,injected,13.17,132,10023.8,70.4,58.8,97.1,45.6,33.8,70.6,24.05,18,32.9,0.65,0.3,1.5,,classification,805,797
2025-07-09T10:57:17.788Z,1752058637788,inference_aggregated,injected,12.94,130,10048.2,71.44,54.9,124.4,46.25,33.8,88.2,24.45,19.6,36.3,0.64,0.2,1.5,,classification,805,797
2025-07-09T10:57:27.826Z,1752058647826,inference_aggregated,injected,12.85,129,10037.7,72.05,55,133.5,46.11,32.9,68.8,25.16,19.2,64.2,0.65,0.3,2.3,,classification,805,797
2025-07-09T10:57:33.895Z,1752058653895,inference_aggregated,injected,12.69,77,6068.6,71.96,56.5,121.1,46.14,34.7,95.8,25.11,20.4,39.6,0.6,0.3,1.2,,classification,805,797
,,,,12.93,121.333333333333,9372.26666666667,71.43,56.85,114.516666666667,46.0416666666667,33.7166666666667,80.4,24.6516666666667,19.5,41.7666666666667,0.64,0.283333333333333,1.75,,,,
