datetime,timestamp,type,location,avgFps,framesInPeriod,durationOfPeriodMs,processing_avg,processing_min,processing_max,inference_avg,inference_min,inference_max,preparation_avg,preparation_min,preparation_max,postProcessing_avg,postProcessing_min,postProcessing_max,modelType,inputWidth,inputHeight,tabId,durationMs
2025-07-09T11:02:54.937Z,1752058974937,inference_aggregated,offscreen,20.33,204,10036.3,49.05,38.9,78.4,22.54,14.6,41,26.5,20.7,41.1,0.14,0,1.7,classification,643,643,1836006153,
2025-07-09T11:03:04.975Z,1752058984975,inference_aggregated,offscreen,20.62,207,10037.4,48.36,38.1,68.5,22.44,14.7,34.8,25.91,21.1,35,0.12,0,0.3,classification,643,643,1836006153,
2025-07-09T11:03:15.019Z,1752058995019,inference_aggregated,offscreen,20.11,202,10043.8,49.6,34,91.1,23.7,10.4,57.9,25.9,20.5,51.8,0.11,0,0.4,classification,643,643,1836006153,
2025-07-09T11:03:25.039Z,1752059005039,inference_aggregated,offscreen,20.76,208,10020.4,48.05,37.1,82.7,22.05,14.4,43.9,26,20.1,45.6,0.11,0,0.4,classification,643,643,1836006153,
2025-07-09T11:03:35.054Z,1752059015054,inference_aggregated,offscreen,20.87,209,10015.2,47.8,35.1,68.8,21.9,11.1,38.9,25.9,20.7,43,0.11,0,0.4,classification,643,643,1836006153,
2025-07-09T11:03:38.439Z,1752059018439,inference_aggregated,offscreen,19.49,66,3386,50.36,35.1,77.1,23.83,11.3,48.3,26.53,21.2,35.4,0.12,0,0.2,classification,643,643,1836006153,
,,,,20.3633333333333,182.666666666667,8923.18333333333,48.87,36.3833333333333,77.7666666666667,22.7433333333333,12.75,44.1333333333333,26.1233333333333,20.7166666666667,41.9833333333333,0.118333333333333,0,0.566666666666667,,,,,
