datetime,timestamp,type,location,avgFps,framesInPeriod,durationOfPeriodMs,processing_avg,processing_min,processing_max,inference_avg,inference_min,inference_max,preparation_avg,preparation_min,preparation_max,postProcessing_avg,postProcessing_min,postProcessing_max,modelType,inputWidth,inputHeight,tabId,durationMs
2025-07-09T11:07:02.116Z,1752059222116,inference_aggregated,offscreen,15.21,153,10058.3,65.6,49.9,95.5,38.04,26.5,61.6,27.55,19.7,44.2,0.14,0,0.6,classification,647,647,1836006153,
2025-07-09T11:07:12.178Z,1752059232178,inference_aggregated,offscreen,15.11,152,10062,66.06,50,100.1,38.25,26.5,70.4,27.8,19.8,37.3,0.14,0,0.5,classification,647,647,1836006153,
2025-07-09T11:07:22.183Z,1752059242183,inference_aggregated,offscreen,15.09,151,10004,66.11,55.1,118.3,38.28,29.9,90.8,27.83,20.1,49.2,0.14,0,0.4,classification,647,647,1836006153,
2025-07-09T11:07:32.213Z,1752059252213,inference_aggregated,offscreen,15.15,152,10030.7,65.87,52.8,84.4,38.32,28.3,54.4,27.55,19.4,38.9,0.12,0,0.4,classification,647,647,1836006153,
2025-07-09T11:07:42.259Z,1752059262259,inference_aggregated,offscreen,14.63,147,10045.5,68.2,53,128.8,39.49,30,80.3,28.7,22.9,57.1,0.13,0,0.4,classification,647,647,1836006153,
2025-07-09T11:07:52.307Z,1752059272307,inference_aggregated,offscreen,14.93,150,10047.6,66.85,52.9,96.2,39.25,28.3,61.2,27.6,20.6,40.6,0.13,0,0.5,classification,647,647,1836006153,
2025-07-09T11:08:01.706Z,1752059281706,inference_aggregated,offscreen,14.36,135,9400.7,69.21,52,178.7,40.99,30.1,153.8,28.22,21.7,52.1,0.13,0,0.4,classification,647,647,1836006153,
,,,,14.9257142857143,148.571428571429,9949.82857142857,66.8428571428571,52.2428571428571,114.571428571429,38.9457142857143,28.5142857142857,81.7857142857143,27.8928571428571,20.6,45.6285714285714,0.132857142857143,,,,,,,
