datetime,timestamp,type,location,avgFps,framesInPeriod,durationOfPeriodMs,processing_avg,processing_min,processing_max,inference_avg,inference_min,inference_max,preparation_avg,preparation_min,preparation_max,postProcessing_avg,postProcessing_min,postProcessing_max,modelType,inputWidth,inputHeight,tabId,durationMs
2025-07-06T16:29:12.435Z,1751819352435,inference_aggregated,offscreen,2.89,29,10042.8,345.67,229.3,584.2,273.06,169.7,514.2,72.6,52.1,142.5,0.56,0.1,3.3,classification,969,969,866042935,
2025-07-06T16:29:22.520Z,1751819362520,inference_aggregated,offscreen,4.57,46,10074.7,218.58,193.5,329.5,160.54,142.6,253.6,58.05,44.3,75.9,0.3,0.1,1.2,classification,969,969,866042935,
2025-07-06T16:29:32.547Z,1751819372547,inference_aggregated,offscreen,4.68,47,10037.8,213.24,190.3,298.4,155.51,138.2,198.7,57.73,40,99.7,0.25,0.1,1.1,classification,969,969,866042935,
2025-07-06T16:29:42.667Z,1751819382667,inference_aggregated,offscreen,4.65,47,10115.5,214.95,196.4,238.6,156,141.6,172.2,58.94,37.9,85.9,0.26,0.1,2.1,classification,969,969,866042935,
2025-07-06T16:29:52.670Z,1751819392670,inference_aggregated,offscreen,4.8,48,10004.1,208.13,195.8,234.3,152.26,140.6,171.1,55.85,42.2,67.9,0.27,0.1,2.2,classification,969,969,866042935,
2025-07-06T16:29:57.545Z,1751819397545,inference_aggregated,offscreen,4.1,20,4882.6,239.09,183.9,346.2,180.36,143.4,253.1,58.72,38.1,106.8,0.27,0.1,1.2,classification,969,969,866042935,
,,,,4.28166666666667,39.5,9192.91666666667,239.943333333333,198.2,338.533333333333,179.621666666667,146.016666666667,260.483333333333,60.315,42.4333333333333,96.45,0.318333333333333,0.1,1.85,,,,,
