datetime,timestamp,type,location,avgFps,framesInPeriod,durationOfPeriodMs,processing_avg,processing_min,processing_max,inference_avg,inference_min,inference_max,preparation_avg,preparation_min,preparation_max,postProcessing_avg,postProcessing_min,postProcessing_max,durationMs,modelType,inputWidth,inputHeight
2025-07-06T16:44:28.772Z,1751820268772,inference_aggregated,injected,2.91,30,10319.6,333.05,267.4,388.9,249.96,233,279.9,80.38,31,114.9,1.34,0.8,2.8,,classification,730,725
2025-07-06T16:44:38.938Z,1751820278938,inference_aggregated,injected,3.05,31,10166.4,319.47,252.8,377.5,244.08,221.5,288.4,73.72,26,90.8,1.22,0.5,3.1,,classification,730,725
2025-07-06T16:44:49.016Z,1751820289016,inference_aggregated,injected,3.18,32,10077.9,306.68,255.8,381.5,241.62,225.7,297.7,63.63,27,91,1.38,0.4,9.6,,classification,730,725
2025-07-06T16:44:59.275Z,1751820299275,inference_aggregated,injected,3.12,32,10259.9,311.74,251.9,341,242.59,226.6,260.8,67.55,23.5,90.7,1.17,0.5,2.5,,classification,730,725
2025-07-06T16:45:09.599Z,1751820309599,inference_aggregated,injected,3.1,32,10323.8,312.98,253.6,363.5,243.11,228.9,278.6,68.2,20.2,87.3,1.11,0.3,2.1,,classification,730,725
2025-07-06T16:45:14.402Z,1751820314402,inference_aggregated,injected,2.91,14,4803.1,321.58,260.4,432.9,260.99,228.8,343.9,59.06,25.5,90.7,1.09,0.6,1.5,,classification,730,725
,,,,3.045,28.5,9325.11666666667,317.583333333333,256.983333333333,380.883333333333,247.058333333333,227.416666666667,291.55,68.7566666666667,25.5333333333333,94.2333333333333,1.21833333333333,0.516666666666667,3.6,,,,
