datetime,timestamp,type,location,avgFps,framesInPeriod,durationOfPeriodMs,processing_avg,processing_min,processing_max,inference_avg,inference_min,inference_max,preparation_avg,preparation_min,preparation_max,postProcessing_avg,postProcessing_min,postProcessing_max,modelType,inputWidth,inputHeight,tabId,durationMs
2025-07-09T10:50:14.232Z,1752058214232,inference_aggregated,offscreen,20.18,202,10011,49.42,37.5,87.5,24.16,15.3,58.3,25.25,20.3,52.5,0.13,0,0.4,classification,639,639,1836006153,
2025-07-09T10:50:24.253Z,1752058224253,inference_aggregated,offscreen,19.66,197,10018.2,50.73,38.7,95.4,25.14,15.2,61.4,25.58,20.8,39.9,0.12,0,0.4,classification,639,639,1836006153,
2025-07-09T10:50:34.259Z,1752058234259,inference_aggregated,offscreen,20.38,204,10007.9,48.93,39.1,69.2,23.52,15,38,25.41,20.8,38.4,0.12,0,0.5,classification,639,639,1836006153,
2025-07-09T10:50:44.284Z,1752058244284,inference_aggregated,offscreen,19.45,195,10025.3,51.29,40.4,94.8,25.25,14.9,47.1,26.03,20.3,48.5,0.12,0,0.5,classification,639,639,1836006153,
2025-07-09T10:50:54.330Z,1752058254330,inference_aggregated,offscreen,20.8,209,10046.1,47.94,38.8,67.3,23.08,15.1,44.2,24.85,20.4,34.4,0.12,0,0.5,classification,639,639,1836006153,
2025-07-09T10:51:04.338Z,1752058264338,inference_aggregated,offscreen,19.88,199,10008.4,50.16,40.1,75.8,24.33,15,47.1,25.83,20.2,44,0.12,0,0.5,classification,639,639,1836006153,
2025-07-09T10:51:05.753Z,1752058265753,inference_aggregated,offscreen,16.97,24,1414.1,56.72,46.5,89.9,31.4,22.9,61.7,25.31,21.1,33.8,0.12,0,0.3,classification,639,639,1836006153,
,,,,19.6171428571429,175.714285714286,8790.14285714286,50.7414285714286,40.1571428571429,82.8428571428571,25.2685714285714,16.2,51.1142857142857,25.4657142857143,20.5571428571429,41.6428571428571,0.121428571428571,0,0.442857142857143,,,,,
