datetime,timestamp,type,location,avgFps,framesInPeriod,durationOfPeriodMs,processing_avg,processing_min,processing_max,inference_avg,inference_min,inference_max,preparation_avg,preparation_min,preparation_max,postProcessing_avg,postProcessing_min,postProcessing_max,durationMs,modelType,inputWidth,inputHeight
2025-07-09T10:52:24.318Z,1752058344318,inference_aggregated,injected,16.64,167,10033.6,56.08,46.5,74.9,31.16,21.2,51.1,24.01,19.4,34.6,0.62,0.3,1.5,,classification,805,797
2025-07-09T10:52:34.350Z,1752058354350,inference_aggregated,injected,14.55,146,10031.5,60.26,45.1,200.7,35.46,19.6,178.1,24.08,20,38.4,0.59,0.3,1.7,,classification,805,797
2025-07-09T10:52:44.408Z,1752058364408,inference_aggregated,injected,16.11,162,10057.8,56.04,44,92.8,32.07,21.6,65.2,23.51,19.1,37.8,0.64,0.2,1.3,,classification,805,797
2025-07-09T10:52:54.449Z,1752058374449,inference_aggregated,injected,16.53,166,10041.7,54.91,44.3,92.4,31.14,21.5,61.1,23.31,19.2,42.5,0.68,0.2,4.8,,classification,805,797
2025-07-09T10:53:04.511Z,1752058384511,inference_aggregated,injected,16.3,164,10061.4,55.68,44,84,31.78,21.8,62.6,23.42,19.1,36.7,0.66,0.2,2.1,,classification,805,797
2025-07-09T10:53:14.556Z,1752058394556,inference_aggregated,injected,16.03,161,10045.4,55.96,44.6,135.1,32.2,21.7,111.4,23.29,19.7,35.4,0.65,0.2,1.9,,classification,805,797
2025-07-09T10:53:20.493Z,1752058400493,inference_aggregated,injected,15.5,92,5936.6,57.06,43,97.6,32.83,20.4,64.3,23.71,19.8,33.2,0.65,0.3,1.5,,classification,805,797
,,,,15.9514285714286,151.142857142857,9458.28571428571,56.57,44.5,111.071428571429,32.3771428571429,21.1142857142857,84.8285714285714,23.6185714285714,19.4714285714286,36.9428571428571,0.641428571428572,0.242857142857143,2.11428571428571,,,,
