datetime,timestamp,type,location,avgFps,framesInPeriod,durationOfPeriodMs,processing_avg,processing_min,processing_max,inference_avg,inference_min,inference_max,preparation_avg,preparation_min,preparation_max,postProcessing_avg,postProcessing_min,postProcessing_max,durationMs,modelType,inputWidth,inputHeight
2025-07-09T11:04:17.209Z,1752059057209,modelLoad,injected,,,,,,,,,,,,,,,,51,classification,,
2025-07-09T11:04:26.955Z,1752059066955,modelLoad,injected,,,,,,,,,,,,,,,,54.2,classification,,
2025-07-09T11:04:43.627Z,1752059083627,inference_aggregated,injected,10.26,103,10043.7,91.95,41.7,3675.6,66.27,19.2,3605.4,24.94,19.6,69.8,0.67,0.3,1.4,,classification,810,802
2025-07-09T11:04:53.645Z,1752059093645,inference_aggregated,injected,17.57,176,10017.9,51.82,40.7,83.5,27.2,16.3,59.2,23.88,19.8,35.7,0.68,0.3,1.9,,classification,810,802
2025-07-09T11:05:03.671Z,1752059103671,inference_aggregated,injected,16.76,168,10025.9,53.63,39.6,94.1,28.89,16.2,70.6,24,19.7,36.4,0.64,0.2,1.2,,classification,810,802
2025-07-09T11:05:13.681Z,1752059113681,inference_aggregated,injected,17.78,178,10009.5,51.32,38.8,83.6,27.3,17.4,60.4,23.33,19.1,31.3,0.66,0.2,5.6,,classification,810,802
2025-07-09T11:05:23.715Z,1752059123715,inference_aggregated,injected,16.64,167,10034.2,54.38,41.8,114.6,29.71,16.9,85.4,23.91,18.7,30.9,0.66,0.3,1.6,,classification,810,802
2025-07-09T11:05:33.728Z,1752059133728,inference_aggregated,injected,17.38,174,10013.4,52.28,38.8,83.4,28.17,16.6,60.6,23.4,20.2,28.8,0.7,0.2,4.6,,classification,810,802
2025-07-09T11:05:40.493Z,1752059140493,inference_aggregated,injected,16.85,114,6765.3,53.05,40.4,91.3,28.24,16.4,66.3,24.09,20.2,38.8,0.62,0.2,1.9,,classification,810,802
