datetime,timestamp,type,location,avgFps,framesInPeriod,durationOfPeriodMs,processing_avg,processing_min,processing_max,inference_avg,inference_min,inference_max,preparation_avg,preparation_min,preparation_max,postProcessing_avg,postProcessing_min,postProcessing_max,modelType,inputWidth,inputHeight,tabId
2025-06-22T12:00:14.100Z,1750593614100,inference_aggregated,offscreen,8.67,87,10040.1,109.02,72.3,847.9,52.7,28.6,722,1.84,1.1,4.3,0.15,0,0.6,classification,729,729,866040862
2025-06-22T12:00:24.203Z,1750593624203,inference_aggregated,offscreen,9.31,94,10101.9,102.71,73.5,240,45.31,30.1,182.3,1.9,1.2,3.8,0.2,0,2.8,classification,729,729,866040862
2025-06-22T12:00:34.319Z,1750593634319,inference_aggregated,offscreen,8.2,83,10116.4,117.16,81.8,279.4,57.37,37.4,225,2.03,1.2,5.9,0.23,0,1,classification,729,729,866040862
2025-06-22T12:00:44.359Z,1750593644359,inference_aggregated,offscreen,8.27,83,10040.6,116.43,86.4,311,55.15,35.7,155.6,2.09,1.2,4.3,0.22,0,0.6,classification,729,729,866040862
2025-06-22T12:00:54.424Z,1750593654424,inference_aggregated,offscreen,8.74,88,10063.1,109.32,77.5,170.1,51.02,32.2,112.6,2.14,1.2,4.5,0.22,0,0.5,classification,729,729,866040862
2025-06-22T12:01:04.498Z,1750593664498,inference_aggregated,offscreen,9.23,93,10075.8,104.06,78.1,189.2,47.12,33.1,93.6,1.89,1.1,3.9,0.24,0,1.6,classification,729,729,866040862
2025-06-22T12:01:14.586Z,1750593674586,inference_aggregated,offscreen,8.13,82,10084.6,117.79,80.6,225.4,58.5,36.6,151.6,2.17,1.2,10.3,0.23,0,1.6,classification,729,729,866040862
2025-06-22T12:01:24.605Z,1750593684605,inference_aggregated,offscreen,8.68,87,10021.7,110.58,84.9,185.3,52.54,37.1,122.3,2.27,1.3,4.4,0.24,0,1.1,classification,729,729,866040862
2025-06-22T12:01:34.633Z,1750593694633,inference_aggregated,offscreen,9.07,91,10028.6,105.82,79.7,193.1,50.39,34,121.4,2,1.3,3.9,0.2,0,0.5,classification,729,729,866040862
2025-06-22T12:01:44.641Z,1750593704641,inference_aggregated,offscreen,8.69,87,10006.6,110.53,81.4,211.1,53.06,36.4,96.9,2.2,1.4,9.1,0.22,0,0.9,classification,729,729,866040862
2025-06-22T12:01:54.647Z,1750593714647,inference_aggregated,offscreen,8.2,82,10003.6,116.9,84.8,200.9,55.26,35.4,98.4,2.19,1.3,5.7,0.28,0,2.2,classification,729,729,866040862
2025-06-22T12:02:04.704Z,1750593724704,inference_aggregated,offscreen,8.65,87,10060.5,111,82.3,239.5,52.25,31.8,132.8,2,1.3,5.1,0.21,0,1,classification,729,729,866040862
2025-06-22T12:02:10.051Z,1750593730051,inference_aggregated,offscreen,9.54,51,5346,100.17,83.9,133.7,47.37,32.4,76.2,2.01,1.3,4.1,0.2,0.1,0.5,classification,729,729,866040862
