datetime,timestamp,type,location,avgFps,framesInPeriod,durationOfPeriodMs,processing_avg,processing_min,processing_max,inference_avg,inference_min,inference_max,preparation_avg,preparation_min,preparation_max,postProcessing_avg,postProcessing_min,postProcessing_max,modelType,inputWidth,inputHeight,tabId,durationMs
2025-07-06T16:40:16.738Z,1751820016738,inference_aggregated,offscreen,2.91,30,10319,343.7,276.9,473.1,300.55,241.9,424.6,43.15,31.1,61,0.25,0.1,0.4,classification,725,725,866042935,
2025-07-06T16:40:26.951Z,1751820026951,inference_aggregated,offscreen,3.53,36,10210.8,283.4,263.1,335,245.49,230.3,305.3,37.91,29.7,56.1,0.21,0.1,0.8,classification,725,725,866042935,
2025-07-06T16:40:37.181Z,1751820037181,inference_aggregated,offscreen,3.52,36,10229.2,283.78,273.4,305,245.9,235.8,266.5,37.84,26.6,49.1,0.33,0.1,3,classification,725,725,866042935,
2025-07-06T16:40:47.525Z,1751820047525,inference_aggregated,offscreen,3,31,10337.6,332.77,274.9,559.3,281.33,238.8,491.8,51.43,31.4,82.2,0.68,0.1,4.2,classification,725,725,866042935,
2025-07-06T16:40:57.525Z,1751820057525,inference_aggregated,offscreen,2.6,26,10006,384.17,296.1,520,332.53,266,456.7,51.63,27.3,88.2,0.66,0.1,5.5,classification,725,725,866042935,
2025-07-06T16:41:03.788Z,1751820063788,inference_aggregated,offscreen,3.19,20,6268.1,306.76,281.3,360.9,267.88,246.8,318.7,38.88,23.9,56.4,0.2,0,0.5,classification,725,725,866042935,
,,,,3.125,29.8333333333333,9561.78333333333,322.43,277.616666666667,425.55,278.946666666667,243.266666666667,377.266666666667,43.4733333333333,28.3333333333333,65.5,0.388333333333333,0.0833333333333333,2.4,,,,,
