datetime,timestamp,type,location,avgFps,framesInPeriod,durationOfPeriodMs,processing_avg,processing_min,processing_max,inference_avg,inference_min,inference_max,preparation_avg,preparation_min,preparation_max,postProcessing_avg,postProcessing_min,postProcessing_max,durationMs,modelType,inputWidth,inputHeight
2025-07-06T16:31:35.711Z,1751819495711,inference_aggregated,injected,2.73,28,10239,351.13,240.4,619.2,244.06,166.3,412.7,104.14,70.3,204.8,2.29,0.7,9.3,,classification,974,969
2025-07-06T16:31:45.883Z,1751819505883,inference_aggregated,injected,3.83,39,10172.3,245.69,183.5,346.6,167.49,137.5,233.9,75.62,39.5,131.6,2.07,0.6,5.7,,classification,974,969
2025-07-06T16:31:55.986Z,1751819515986,inference_aggregated,injected,4.16,42,10103.3,229.36,181.6,311.1,159.7,130.2,253.5,67.23,41.4,137.1,1.64,0.6,4.6,,classification,974,969
2025-07-06T16:32:06.022Z,1751819526022,inference_aggregated,injected,4.28,43,10035.3,223.12,178.2,285.6,148.3,123.8,180.8,73.16,38.1,142.5,2.01,0.7,9.4,,classification,974,969
2025-07-06T16:32:16.087Z,1751819536087,inference_aggregated,injected,4.17,42,10065.7,229.48,171.3,291.9,147.87,129.8,185.8,79.67,41,139.3,2.13,0.7,9.8,,classification,974,969
2025-07-06T16:32:26.181Z,1751819546181,inference_aggregated,injected,4.36,44,10093.4,217.55,181,307.7,148.04,127.8,192.4,67.87,40.2,128.7,1.6,0.7,3.8,,classification,974,969
,,,,3.92166666666667,39.6666666666667,10118.1666666667,249.388333333333,189.333333333333,360.35,169.243333333333,135.9,243.183333333333,77.9483333333333,45.0833333333333,147.333333333333,1.95666666666667,0.666666666666667,7.1,,,,
