datetime,timestamp,type,location,avgFps,framesInPeriod,durationOfPeriodMs,processing_avg,processing_min,processing_max,inference_avg,inference_min,inference_max,preparation_avg,preparation_min,preparation_max,postProcessing_avg,postProcessing_min,postProcessing_max,modelType,inputWidth,inputHeight,tabId,durationMs
2025-07-06T17:07:38.246Z,1751821658246,inference_aggregated,offscreen,3.92,40,10198.1,254.31,168,332.1,185.79,141.4,249.3,68.5,24.7,98.3,0.58,0.1,4.4,classification,736,736,866042935,
2025-07-06T17:07:48.322Z,1751821668322,inference_aggregated,offscreen,3.87,39,10068.8,257.52,171.2,374.1,184.99,145.3,283.5,72.52,25.9,100,0.63,0.2,4,classification,736,736,866042935,
2025-07-06T17:07:58.547Z,1751821678547,inference_aggregated,offscreen,4.01,41,10233.2,248.93,160.1,336,186.57,137.1,251.5,62.35,20.5,92.8,0.63,0,4.8,classification,736,736,866042935,
2025-07-06T17:08:08.817Z,1751821688817,inference_aggregated,offscreen,4,41,10260.5,249.64,162,292.6,182.1,133.2,230.1,67.53,28.7,99.1,0.56,0.1,2.2,classification,736,736,866042935,
2025-07-06T17:08:18.818Z,1751821698818,inference_aggregated,offscreen,4,40,10010.6,249.7,176.8,302.4,182.61,134.2,235.6,67.07,28.5,103.9,0.53,0.1,2.8,classification,736,736,866042935,
2025-07-06T17:08:26.028Z,1751821706028,inference_aggregated,offscreen,3.88,28,7211.1,252.06,168.9,352.2,188.6,132.6,256.7,63.45,25.4,110.8,0.85,0.1,10,classification,736,736,866042935,
,,,,3.94666666666667,38.1666666666667,9663.71666666667,252.026666666667,167.833333333333,331.566666666667,185.11,137.3,251.116666666667,66.9033333333333,25.6166666666667,100.816666666667,0.63,0.1,4.7,,,,,
